type, Node,Node Interface,Leaf IP Address,Peer Node,Peer Interface,Peer IP Address
l3leaf,DC1-BL1A,Ethernet1,172.31.255.33/31,spine,DC1-SPINE1,Ethernet6,172.31.255.32/31
l3leaf,DC1-BL1A,Ethernet2,172.31.255.35/31,spine,DC1-SPINE2,Ethernet6,172.31.255.34/31
l3leaf,DC1-BL1B,Ethernet1,172.31.255.37/31,spine,DC1-SPINE1,Ethernet7,172.31.255.36/31
l3leaf,DC1-BL1B,Ethernet2,172.31.255.39/31,spine,DC1-SPINE2,Ethernet7,172.31.255.38/31
l3leaf,DC1-LEAF1A,Ethernet1,172.31.255.1/31,spine,DC1-SPINE1,Ethernet1,172.31.255.0/31
l3leaf,DC1-LEAF1A,Ethernet2,172.31.255.3/31,spine,DC1-SPINE2,Ethernet1,172.31.255.2/31
l3leaf,DC1-LEAF1B,Ethernet1,172.31.255.5/31,spine,DC1-SPINE1,Ethernet2,172.31.255.4/31
l3leaf,DC1-LEAF1B,Ethernet2,172.31.255.7/31,spine,DC1-SPINE2,Ethernet2,172.31.255.6/31
l3leaf,DC1-LEAF2A,Ethernet1,172.31.255.9/31,spine,DC1-SPINE1,Ethernet3,172.31.255.8/31
l3leaf,DC1-LEAF2A,Ethernet2,172.31.255.11/31,spine,DC1-SPINE2,Ethernet3,172.31.255.10/31
l3leaf,DC1-LEAF2B,Ethernet1,172.31.255.13/31,spine,DC1-SPINE1,Ethernet4,172.31.255.12/31
l3leaf,DC1-LEAF2B,Ethernet2,172.31.255.15/31,spine,DC1-SPINE2,Ethernet4,172.31.255.14/31
l3leaf,DC1-LEAF3A,Ethernet1,172.31.255.29/31,spine,DC1-SPINE1,Ethernet5,172.31.255.28/31
l3leaf,DC1-LEAF3A,Ethernet2,172.31.255.31/31,spine,DC1-SPINE2,Ethernet5,172.31.255.30/31
l3leaf,DC1-LEAF4A,Ethernet1,172.31.255.41/31,spine,DC1-SPINE1,Ethernet8,172.31.255.40/31
l3leaf,DC1-LEAF4A,Ethernet2,172.31.255.43/31,spine,DC1-SPINE2,Ethernet8,172.31.255.42/31
