Type, Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,EAPI-BL01A,Ethernet1,172.31.255.65/31,spine,EAPI-SPINE1,Ethernet5,172.31.255.64/31
l3leaf,EAPI-BL01A,Ethernet2,172.31.255.67/31,spine,EAPI-SPINE2,Ethernet5,172.31.255.66/31
l3leaf,EAPI-BL01B,Ethernet1,172.31.255.69/31,spine,EAPI-SPINE1,Ethernet6,172.31.255.68/31
l3leaf,EAPI-BL01B,Ethernet2,172.31.255.71/31,spine,EAPI-SPINE2,Ethernet6,172.31.255.70/31
l3leaf,EAPI-CL01A,Ethernet1,172.31.255.73/31,spine,EAPI-SPINE1,Ethernet9,172.31.255.72/31
l3leaf,EAPI-CL01A,Ethernet2,172.31.255.75/31,spine,EAPI-SPINE2,Ethernet9,172.31.255.74/31
l3leaf,EAPI-CL01B,Ethernet1,172.31.255.77/31,spine,EAPI-SPINE1,Ethernet10,172.31.255.76/31
l3leaf,EAPI-CL01B,Ethernet2,172.31.255.79/31,spine,EAPI-SPINE2,Ethernet10,172.31.255.78/31
l2leaf,EAPI-L2LEAF01,Ethernet1,172.31.251.81/31,spine,EAPI-SPINE1,Ethernet11,172.31.251.80/31
l2leaf,EAPI-L2LEAF01,Ethernet2,172.31.251.83/31,spine,EAPI-SPINE2,Ethernet11,172.31.251.82/31
l2leaf,EAPI-L2LEAF02,Ethernet1,172.31.251.85/31,spine,EAPI-SPINE1,Ethernet12,172.31.251.84/31
l2leaf,EAPI-L2LEAF02,Ethernet2,172.31.251.87/31,spine,EAPI-SPINE2,Ethernet12,172.31.251.86/31
l3leaf,EAPI-LEAF1A,Ethernet1,172.31.255.41/31,spine,EAPI-SPINE1,Ethernet1,172.31.255.40/31
l3leaf,EAPI-LEAF1A,Ethernet2,172.31.255.43/31,spine,EAPI-SPINE2,Ethernet1,172.31.255.42/31
l3leaf,EAPI-LEAF1B,Ethernet1,172.31.255.45/31,spine,EAPI-SPINE1,Ethernet2,172.31.255.44/31
l3leaf,EAPI-LEAF1B,Ethernet2,172.31.255.47/31,spine,EAPI-SPINE2,Ethernet2,172.31.255.46/31
l3leaf,EAPI-LEAF2A,Ethernet1,172.31.255.49/31,spine,EAPI-SPINE1,Ethernet3,172.31.255.48/31
l3leaf,EAPI-LEAF2A,Ethernet2,172.31.255.51/31,spine,EAPI-SPINE2,Ethernet3,172.31.255.50/31
l3leaf,EAPI-LEAF2B,Ethernet1,172.31.255.53/31,spine,EAPI-SPINE1,Ethernet4,172.31.255.52/31
l3leaf,EAPI-LEAF2B,Ethernet2,172.31.255.55/31,spine,EAPI-SPINE2,Ethernet4,172.31.255.54/31
l3leaf,EAPI-LEAF3A,Ethernet1,172.31.255.57/31,spine,EAPI-SPINE1,Ethernet7,172.31.255.56/31
l3leaf,EAPI-LEAF3A,Ethernet2,172.31.255.59/31,spine,EAPI-SPINE2,Ethernet7,172.31.255.58/31
l3leaf,EAPI-LEAF4A,Ethernet1,172.31.255.61/31,spine,EAPI-SPINE1,Ethernet8,172.31.255.60/31
l3leaf,EAPI-LEAF4A,Ethernet2,172.31.255.63/31,spine,EAPI-SPINE2,Ethernet8,172.31.255.62/31
route_server,EAPI-RS01,Ethernet1,172.31.250.49/31,spine,EAPI-SPINE1,Ethernet13,172.31.250.48/31
route_server,EAPI-RS02,Ethernet1,172.31.250.51/31,spine,EAPI-SPINE2,Ethernet13,172.31.250.50/31
