BGP summary information for VRF default
Router identifier 192.168.1.1, local AS number 65001
Neighbor Status Codes: m - Under maintenance
  Description              Neighbor         V AS           MsgRcvd   MsgSent  InQ OutQ  Up/Down State   PfxRcd PfxAcc
  EAPI-RS01_Ethernet1      172.31.250.1     4 65000             29        39    0    0 00:21:34 Estab   1      1
  EAPI-L2LEAF01_Ethernet1  172.31.251.1     4 65107             26        31    0    0 00:11:20 Estab   2      2
  EAPI-L2LEAF02_Ethernet1  172.31.251.5     4 65108             22        31    0    0 00:11:28 Estab   2      2
  EAPI-LEAF1A_Ethernet1    172.31.255.1     4 65101             25        33    0    0 00:13:42 Estab   3      3
  EAPI-LEAF1B_Ethernet1    172.31.255.5     4 65101             25        33    0    0 00:13:44 Estab   3      3
  EAPI-LEAF2A_Ethernet1    172.31.255.9     4 65102             28        32    0    0 00:13:49 Estab   3      3
  EAPI-LEAF2B_Ethernet1    172.31.255.13    4 65102             28        33    0    0 00:13:40 Estab   3      3
  EAPI-LEAF3A_Ethernet1    172.31.255.17    4 65103             32        36    0    0 00:16:56 Estab   2      2
  EAPI-LEAF4A_Ethernet1    172.31.255.21    4 65104             31        37    0    0 00:17:23 Estab   2      2
  EAPI-BL01A_Ethernet1     172.31.255.25    4 65105             33        33    0    0 00:13:54 Estab   3      3
  EAPI-BL01B_Ethernet1     172.31.255.29    4 65105             30        31    0    0 00:14:07 Estab   3      3
  EAPI-CL01A_Ethernet1     172.31.255.33    4 65106             17        24    0    0 00:06:52 Estab   3      3
  EAPI-CL01B_Ethernet1     172.31.255.37    4 65106             16        25    0    0 00:06:52 Estab   3      3
