Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
edge,ceos-agg01,Ethernet1,l3leaf,ceos-leaf1a,Ethernet5
edge,ceos-agg01,Ethernet2,l3leaf,ceos-leaf1b,Ethernet5
edge,ceos-agg01,Ethernet3,server,SRV-POD01,Eth1
edge,ceos-agg01,Ethernet4,server,client11,Eth2
edge,ceos-agg01,Ethernet5,server,client12,Eth1
edge,ceos-agg02,Ethernet1,l3leaf,ceos-leaf2a,Ethernet5
edge,ceos-agg02,Ethernet2,l3leaf,ceos-leaf2b,Ethernet5
edge,ceos-agg02,Ethernet3,server,SRV-POD02,Eth1
edge,ceos-agg02,Ethernet4,server,client21,Eth2
edge,ceos-agg02,Ethernet5,server,client22,Eth1
l3leaf,ceos-bl01a,Ethernet1,spine,ceos-spine1,Ethernet5
l3leaf,ceos-bl01a,Ethernet2,spine,ceos-spine2,Ethernet5
l3leaf,ceos-bl01a,Ethernet3,mlag_peer,ceos-bl01b,Ethernet3
l3leaf,ceos-bl01a,Ethernet4,mlag_peer,ceos-bl01b,Ethernet4
l3leaf,ceos-bl01b,Ethernet1,spine,ceos-spine1,Ethernet6
l3leaf,ceos-bl01b,Ethernet2,spine,ceos-spine2,Ethernet6
l3leaf,ceos-bl01b,Ethernet3,mlag_peer,ceos-bl01a,Ethernet3
l3leaf,ceos-bl01b,Ethernet4,mlag_peer,ceos-bl01a,Ethernet4
l3leaf,ceos-leaf1a,Ethernet1,spine,ceos-spine1,Ethernet1
l3leaf,ceos-leaf1a,Ethernet2,spine,ceos-spine2,Ethernet1
l3leaf,ceos-leaf1a,Ethernet3,mlag_peer,ceos-leaf1b,Ethernet3
l3leaf,ceos-leaf1a,Ethernet4,mlag_peer,ceos-leaf1b,Ethernet4
l3leaf,ceos-leaf1a,Ethernet5,edge,ceos-agg01,Ethernet1
l3leaf,ceos-leaf1b,Ethernet1,spine,ceos-spine1,Ethernet2
l3leaf,ceos-leaf1b,Ethernet2,spine,ceos-spine2,Ethernet2
l3leaf,ceos-leaf1b,Ethernet3,mlag_peer,ceos-leaf1a,Ethernet3
l3leaf,ceos-leaf1b,Ethernet4,mlag_peer,ceos-leaf1a,Ethernet4
l3leaf,ceos-leaf1b,Ethernet5,edge,ceos-agg01,Ethernet2
l3leaf,ceos-leaf2a,Ethernet1,spine,ceos-spine1,Ethernet3
l3leaf,ceos-leaf2a,Ethernet2,spine,ceos-spine2,Ethernet3
l3leaf,ceos-leaf2a,Ethernet3,mlag_peer,ceos-leaf2b,Ethernet3
l3leaf,ceos-leaf2a,Ethernet4,mlag_peer,ceos-leaf2b,Ethernet4
l3leaf,ceos-leaf2a,Ethernet5,edge,ceos-agg02,Ethernet1
l3leaf,ceos-leaf2b,Ethernet1,spine,ceos-spine1,Ethernet4
l3leaf,ceos-leaf2b,Ethernet2,spine,ceos-spine2,Ethernet4
l3leaf,ceos-leaf2b,Ethernet3,mlag_peer,ceos-leaf2a,Ethernet3
l3leaf,ceos-leaf2b,Ethernet4,mlag_peer,ceos-leaf2a,Ethernet4
l3leaf,ceos-leaf2b,Ethernet5,edge,ceos-agg02,Ethernet2
l3leaf,ceos-leaf3a,Ethernet1,spine,ceos-spine1,Ethernet7
l3leaf,ceos-leaf3a,Ethernet2,spine,ceos-spine2,Ethernet7
l3leaf,ceos-leaf4a,Ethernet1,spine,ceos-spine1,Ethernet8
l3leaf,ceos-leaf4a,Ethernet2,spine,ceos-spine2,Ethernet8
spine,ceos-spine1,Ethernet1,l3leaf,ceos-leaf1a,Ethernet1
spine,ceos-spine1,Ethernet2,l3leaf,ceos-leaf1b,Ethernet1
spine,ceos-spine1,Ethernet3,l3leaf,ceos-leaf2a,Ethernet1
spine,ceos-spine1,Ethernet4,l3leaf,ceos-leaf2b,Ethernet1
spine,ceos-spine1,Ethernet5,l3leaf,ceos-bl01a,Ethernet1
spine,ceos-spine1,Ethernet6,l3leaf,ceos-bl01b,Ethernet1
spine,ceos-spine1,Ethernet7,l3leaf,ceos-leaf3a,Ethernet1
spine,ceos-spine1,Ethernet8,l3leaf,ceos-leaf4a,Ethernet1
spine,ceos-spine2,Ethernet1,l3leaf,ceos-leaf1a,Ethernet2
spine,ceos-spine2,Ethernet2,l3leaf,ceos-leaf1b,Ethernet2
spine,ceos-spine2,Ethernet3,l3leaf,ceos-leaf2a,Ethernet2
spine,ceos-spine2,Ethernet4,l3leaf,ceos-leaf2b,Ethernet2
spine,ceos-spine2,Ethernet5,l3leaf,ceos-bl01a,Ethernet2
spine,ceos-spine2,Ethernet6,l3leaf,ceos-bl01b,Ethernet2
spine,ceos-spine2,Ethernet7,l3leaf,ceos-leaf3a,Ethernet2
spine,ceos-spine2,Ethernet8,l3leaf,ceos-leaf4a,Ethernet2
