Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
spine,AVD2-SPINE1,Ethernet1,l3leaf,AVD2-LEAF1A,Ethernet1
spine,AVD2-SPINE1,Ethernet2,l3leaf,AVD2-LEAF1B,Ethernet1
spine,AVD2-SPINE1,Ethernet3,l3leaf,AVD2-LEAF2A,Ethernet1
spine,AVD2-SPINE1,Ethernet4,l3leaf,AVD2-LEAF2B,Ethernet1
spine,AVD2-SPINE1,Ethernet5,l3leaf,AVD2-BL01A,Ethernet1
spine,AVD2-SPINE1,Ethernet6,l3leaf,AVD2-BL01B,Ethernet1
spine,AVD2-SPINE1,Ethernet7,l3leaf,AVD2-LEAF3A,Ethernet1
spine,AVD2-SPINE1,Ethernet8,l3leaf,AVD2-LEAF4A,Ethernet1
spine,AVD2-SPINE2,Ethernet1,l3leaf,AVD2-LEAF1A,Ethernet2
spine,AVD2-SPINE2,Ethernet2,l3leaf,AVD2-LEAF1B,Ethernet2
spine,AVD2-SPINE2,Ethernet3,l3leaf,AVD2-LEAF2A,Ethernet2
spine,AVD2-SPINE2,Ethernet4,l3leaf,AVD2-LEAF2B,Ethernet2
spine,AVD2-SPINE2,Ethernet5,l3leaf,AVD2-BL01A,Ethernet2
spine,AVD2-SPINE2,Ethernet6,l3leaf,AVD2-BL01B,Ethernet2
spine,AVD2-SPINE2,Ethernet7,l3leaf,AVD2-LEAF3A,Ethernet2
spine,AVD2-SPINE2,Ethernet8,l3leaf,AVD2-LEAF4A,Ethernet2
l3leaf,AVD2-BL01A,Ethernet1,spine,AVD2-SPINE1,Ethernet5
l3leaf,AVD2-BL01A,Ethernet2,spine,AVD2-SPINE2,Ethernet5
l3leaf,AVD2-BL01A,Ethernet3,mlag_peer,AVD2-BL01B,Ethernet3
l3leaf,AVD2-BL01A,Ethernet4,mlag_peer,AVD2-BL01B,Ethernet4
l3leaf,AVD2-BL01B,Ethernet1,spine,AVD2-SPINE1,Ethernet6
l3leaf,AVD2-BL01B,Ethernet2,spine,AVD2-SPINE2,Ethernet6
l3leaf,AVD2-BL01B,Ethernet3,mlag_peer,AVD2-BL01A,Ethernet3
l3leaf,AVD2-BL01B,Ethernet4,mlag_peer,AVD2-BL01A,Ethernet4
l3leaf,AVD2-LEAF1A,Ethernet1,spine,AVD2-SPINE1,Ethernet1
l3leaf,AVD2-LEAF1A,Ethernet2,spine,AVD2-SPINE2,Ethernet1
l3leaf,AVD2-LEAF1A,Ethernet3,mlag_peer,AVD2-LEAF1B,Ethernet3
l3leaf,AVD2-LEAF1A,Ethernet4,mlag_peer,AVD2-LEAF1B,Ethernet4
l3leaf,AVD2-LEAF1A,Ethernet5,l2leaf,AVD2-AGG01,Ethernet1
l3leaf,AVD2-LEAF1B,Ethernet1,spine,AVD2-SPINE1,Ethernet2
l3leaf,AVD2-LEAF1B,Ethernet2,spine,AVD2-SPINE2,Ethernet2
l3leaf,AVD2-LEAF1B,Ethernet3,mlag_peer,AVD2-LEAF1A,Ethernet3
l3leaf,AVD2-LEAF1B,Ethernet4,mlag_peer,AVD2-LEAF1A,Ethernet4
l3leaf,AVD2-LEAF1B,Ethernet5,l2leaf,AVD2-AGG01,Ethernet2
l3leaf,AVD2-LEAF2A,Ethernet1,spine,AVD2-SPINE1,Ethernet3
l3leaf,AVD2-LEAF2A,Ethernet2,spine,AVD2-SPINE2,Ethernet3
l3leaf,AVD2-LEAF2A,Ethernet3,mlag_peer,AVD2-LEAF2B,Ethernet3
l3leaf,AVD2-LEAF2A,Ethernet4,mlag_peer,AVD2-LEAF2B,Ethernet4
l3leaf,AVD2-LEAF2A,Ethernet5,l2leaf,AVD2-AGG02,Ethernet1
l3leaf,AVD2-LEAF2B,Ethernet1,spine,AVD2-SPINE1,Ethernet4
l3leaf,AVD2-LEAF2B,Ethernet2,spine,AVD2-SPINE2,Ethernet4
l3leaf,AVD2-LEAF2B,Ethernet3,mlag_peer,AVD2-LEAF2A,Ethernet3
l3leaf,AVD2-LEAF2B,Ethernet4,mlag_peer,AVD2-LEAF2A,Ethernet4
l3leaf,AVD2-LEAF2B,Ethernet5,l2leaf,AVD2-AGG02,Ethernet2
l3leaf,AVD2-LEAF3A,Ethernet1,spine,AVD2-SPINE1,Ethernet7
l3leaf,AVD2-LEAF3A,Ethernet2,spine,AVD2-SPINE2,Ethernet7
l3leaf,AVD2-LEAF4A,Ethernet1,spine,AVD2-SPINE1,Ethernet8
l3leaf,AVD2-LEAF4A,Ethernet2,spine,AVD2-SPINE2,Ethernet8
l2leaf,AVD2-AGG01,Ethernet1,l3leaf,AVD2-LEAF1A,Ethernet5
l2leaf,AVD2-AGG01,Ethernet2,l3leaf,AVD2-LEAF1B,Ethernet5
l2leaf,AVD2-AGG02,Ethernet1,l3leaf,AVD2-LEAF2A,Ethernet5
l2leaf,AVD2-AGG02,Ethernet2,l3leaf,AVD2-LEAF2B,Ethernet5
