Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
spine,SITE01-SPINE1,Ethernet1,l3leaf,SITE01-LEAF1A,Ethernet1
spine,SITE01-SPINE1,Ethernet2,l3leaf,SITE01-LEAF1B,Ethernet1
spine,SITE01-SPINE1,Ethernet3,l3leaf,SITE01-LEAF2A,Ethernet1
spine,SITE01-SPINE1,Ethernet4,l3leaf,SITE01-LEAF2B,Ethernet1
spine,SITE01-SPINE1,Ethernet5,l3leaf,SITE01-BL01A,Ethernet1
spine,SITE01-SPINE1,Ethernet6,l3leaf,SITE01-BL01B,Ethernet1
spine,SITE01-SPINE2,Ethernet1,l3leaf,SITE01-LEAF1A,Ethernet2
spine,SITE01-SPINE2,Ethernet2,l3leaf,SITE01-LEAF1B,Ethernet2
spine,SITE01-SPINE2,Ethernet3,l3leaf,SITE01-LEAF2A,Ethernet2
spine,SITE01-SPINE2,Ethernet4,l3leaf,SITE01-LEAF2B,Ethernet2
spine,SITE01-SPINE2,Ethernet5,l3leaf,SITE01-BL01A,Ethernet2
spine,SITE01-SPINE2,Ethernet6,l3leaf,SITE01-BL01B,Ethernet2
l3leaf,SITE01-BL01A,Ethernet1,spine,SITE01-SPINE1,Ethernet5
l3leaf,SITE01-BL01A,Ethernet2,spine,SITE01-SPINE2,Ethernet5
l3leaf,SITE01-BL01A,Ethernet3,mlag_peer,SITE01-BL01B,Ethernet3
l3leaf,SITE01-BL01A,Ethernet4,mlag_peer,SITE01-BL01B,Ethernet4
l3leaf,SITE01-BL01B,Ethernet1,spine,SITE01-SPINE1,Ethernet6
l3leaf,SITE01-BL01B,Ethernet2,spine,SITE01-SPINE2,Ethernet6
l3leaf,SITE01-BL01B,Ethernet3,mlag_peer,SITE01-BL01A,Ethernet3
l3leaf,SITE01-BL01B,Ethernet4,mlag_peer,SITE01-BL01A,Ethernet4
l3leaf,SITE01-LEAF1A,Ethernet1,spine,SITE01-SPINE1,Ethernet1
l3leaf,SITE01-LEAF1A,Ethernet2,spine,SITE01-SPINE2,Ethernet1
l3leaf,SITE01-LEAF1A,Ethernet3,mlag_peer,SITE01-LEAF1B,Ethernet3
l3leaf,SITE01-LEAF1A,Ethernet4,mlag_peer,SITE01-LEAF1B,Ethernet4
l3leaf,SITE01-LEAF1B,Ethernet1,spine,SITE01-SPINE1,Ethernet2
l3leaf,SITE01-LEAF1B,Ethernet2,spine,SITE01-SPINE2,Ethernet2
l3leaf,SITE01-LEAF1B,Ethernet3,mlag_peer,SITE01-LEAF1A,Ethernet3
l3leaf,SITE01-LEAF1B,Ethernet4,mlag_peer,SITE01-LEAF1A,Ethernet4
l3leaf,SITE01-LEAF2A,Ethernet1,spine,SITE01-SPINE1,Ethernet3
l3leaf,SITE01-LEAF2A,Ethernet2,spine,SITE01-SPINE2,Ethernet3
l3leaf,SITE01-LEAF2A,Ethernet3,mlag_peer,SITE01-LEAF2B,Ethernet3
l3leaf,SITE01-LEAF2A,Ethernet4,mlag_peer,SITE01-LEAF2B,Ethernet4
l3leaf,SITE01-LEAF2B,Ethernet1,spine,SITE01-SPINE1,Ethernet4
l3leaf,SITE01-LEAF2B,Ethernet2,spine,SITE01-SPINE2,Ethernet4
l3leaf,SITE01-LEAF2B,Ethernet3,mlag_peer,SITE01-LEAF2A,Ethernet3
l3leaf,SITE01-LEAF2B,Ethernet4,mlag_peer,SITE01-LEAF2A,Ethernet4
