type, Leaf Node,Leaf Interface,Leaf IP Address,Port-Channel,Peer Node,Peer Interface,Peer IP Address,Port-Channel
L3 Leaf,DC1-BL1A,Ethernet1,172.31.255.33/31,N/A,DC1-SPINE1,Ethernet6,172.31.255.32/31,N/A
L3 Leaf,DC1-BL1A,Ethernet2,172.31.255.35/31,N/A,DC1-SPINE2,Ethernet6,172.31.255.34/31,N/A
L3 Leaf,DC1-BL1B,Ethernet1,172.31.255.37/31,N/A,DC1-SPINE1,Ethernet7,172.31.255.36/31,N/A
L3 Leaf,DC1-BL1B,Ethernet2,172.31.255.39/31,N/A,DC1-SPINE2,Ethernet7,172.31.255.38/31,N/A
L3 Leaf,DC1-BL2A,Ethernet1,172.31.255.45/31,N/A,DC1-SPINE1,Ethernet9,172.31.255.44/31,N/A
L3 Leaf,DC1-BL2A,Ethernet2,172.31.255.47/31,N/A,DC1-SPINE2,Ethernet9,172.31.255.46/31,N/A
L3 Leaf,DC1-BL2B,Ethernet1,172.31.255.49/31,N/A,DC1-SPINE1,Ethernet10,172.31.255.48/31,N/A
L3 Leaf,DC1-BL2B,Ethernet2,172.31.255.51/31,N/A,DC1-SPINE2,Ethernet10,172.31.255.50/31,N/A
L3 Leaf,DC1-LEAF1A,Ethernet1,172.31.255.1/31,N/A,DC1-SPINE1,Ethernet1,172.31.255.0/31,N/A
L3 Leaf,DC1-LEAF1A,Ethernet2,172.31.255.3/31,N/A,DC1-SPINE2,Ethernet1,172.31.255.2/31,N/A
L3 Leaf,DC1-LEAF1B,Ethernet1,172.31.255.5/31,N/A,DC1-SPINE1,Ethernet2,172.31.255.4/31,N/A
L3 Leaf,DC1-LEAF1B,Ethernet2,172.31.255.7/31,N/A,DC1-SPINE2,Ethernet2,172.31.255.6/31,N/A
L3 Leaf,DC1-LEAF2A,Ethernet1,172.31.255.9/31,N/A,DC1-SPINE1,Ethernet3,172.31.255.8/31,N/A
L3 Leaf,DC1-LEAF2A,Ethernet2,172.31.255.11/31,N/A,DC1-SPINE2,Ethernet3,172.31.255.10/31,N/A
L3 Leaf,DC1-LEAF2B,Ethernet1,172.31.255.13/31,N/A,DC1-SPINE1,Ethernet4,172.31.255.12/31,N/A
L3 Leaf,DC1-LEAF2B,Ethernet2,172.31.255.15/31,N/A,DC1-SPINE2,Ethernet4,172.31.255.14/31,N/A
L3 Leaf,DC1-LEAF3A,Ethernet1,172.31.255.29/31,N/A,DC1-SPINE1,Ethernet5,172.31.255.28/31,N/A
L3 Leaf,DC1-LEAF3A,Ethernet2,172.31.255.31/31,N/A,DC1-SPINE2,Ethernet5,172.31.255.30/31,N/A
L3 Leaf,DC1-LEAF4A,Ethernet1,172.31.255.41/31,N/A,DC1-SPINE1,Ethernet8,172.31.255.40/31,N/A
L3 Leaf,DC1-LEAF4A,Ethernet2,172.31.255.43/31,N/A,DC1-SPINE2,Ethernet8,172.31.255.42/31,N/A
L2 Leaf,DC1-L2LEAF1A,Ethernet1,N/A,Po1,DC1-LEAF1A,Ethernet5,N/A,Po5
L2 Leaf,DC1-L2LEAF1A,Ethernet2,N/A,Po1,DC1-LEAF1B,Ethernet5,N/A,Po5
L2 Leaf,DC1-L2LEAF2A,Ethernet1,N/A,Po1,DC1-LEAF2A,Ethernet5,N/A,Po5
L2 Leaf,DC1-L2LEAF2A,Ethernet2,N/A,Po1,DC1-LEAF2B,Ethernet5,N/A,Po5
