Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
spine,DC1-SPINE1,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet1
spine,DC1-SPINE1,Ethernet2,l3leaf,DC1-LEAF1B,Ethernet1
spine,DC1-SPINE1,Ethernet3,l3leaf,DC1-LEAF2A,Ethernet1
spine,DC1-SPINE1,Ethernet4,l3leaf,DC1-LEAF2B,Ethernet1
spine,DC1-SPINE1,Ethernet5,l3leaf,DC1-LEAF3A,Ethernet1
spine,DC1-SPINE1,Ethernet6,l3leaf,DC1-BL1A,Ethernet1
spine,DC1-SPINE1,Ethernet7,l3leaf,DC1-BL1B,Ethernet1
spine,DC1-SPINE1,Ethernet8,l3leaf,DC1-LEAF4A,Ethernet1
spine,DC1-SPINE2,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet2
spine,DC1-SPINE2,Ethernet2,l3leaf,DC1-LEAF1B,Ethernet2
spine,DC1-SPINE2,Ethernet3,l3leaf,DC1-LEAF2A,Ethernet2
spine,DC1-SPINE2,Ethernet4,l3leaf,DC1-LEAF2B,Ethernet2
spine,DC1-SPINE2,Ethernet5,l3leaf,DC1-LEAF3A,Ethernet2
spine,DC1-SPINE2,Ethernet6,l3leaf,DC1-BL1A,Ethernet2
spine,DC1-SPINE2,Ethernet7,l3leaf,DC1-BL1B,Ethernet2
spine,DC1-SPINE2,Ethernet8,l3leaf,DC1-LEAF4A,Ethernet2
l3leaf,DC1-BL1A,Ethernet1,spine,DC1-SPINE1,Ethernet6
l3leaf,DC1-BL1A,Ethernet2,spine,DC1-SPINE2,Ethernet6
l3leaf,DC1-BL1A,Ethernet3,mlag_peer,DC1-BL1B,Ethernet3
l3leaf,DC1-BL1A,Ethernet4,mlag_peer,DC1-BL1B,Ethernet4
l3leaf,DC1-BL1B,Ethernet1,spine,DC1-SPINE1,Ethernet7
l3leaf,DC1-BL1B,Ethernet2,spine,DC1-SPINE2,Ethernet7
l3leaf,DC1-BL1B,Ethernet3,mlag_peer,DC1-BL1A,Ethernet3
l3leaf,DC1-BL1B,Ethernet4,mlag_peer,DC1-BL1A,Ethernet4
l3leaf,DC1-LEAF1A,Ethernet1,spine,DC1-SPINE1,Ethernet1
l3leaf,DC1-LEAF1A,Ethernet2,spine,DC1-SPINE2,Ethernet1
l3leaf,DC1-LEAF1A,Ethernet3,mlag_peer,DC1-LEAF1B,Ethernet3
l3leaf,DC1-LEAF1A,Ethernet4,mlag_peer,DC1-LEAF1B,Ethernet4
l3leaf,DC1-LEAF1A,Ethernet5,l2leaf,DC1-L2LEAF1A,Ethernet1
l3leaf,DC1-LEAF1A,Ethernet6,server,server01_MLAG,Eth0
l3leaf,DC1-LEAF1B,Ethernet1,spine,DC1-SPINE1,Ethernet2
l3leaf,DC1-LEAF1B,Ethernet2,spine,DC1-SPINE2,Ethernet2
l3leaf,DC1-LEAF1B,Ethernet3,mlag_peer,DC1-LEAF1A,Ethernet3
l3leaf,DC1-LEAF1B,Ethernet4,mlag_peer,DC1-LEAF1A,Ethernet4
l3leaf,DC1-LEAF1B,Ethernet5,l2leaf,DC1-L2LEAF1A,Ethernet2
l3leaf,DC1-LEAF1B,Ethernet6,server,server01_MLAG,Eth1
l3leaf,DC1-LEAF2A,Ethernet1,spine,DC1-SPINE1,Ethernet3
l3leaf,DC1-LEAF2A,Ethernet2,spine,DC1-SPINE2,Ethernet3
l3leaf,DC1-LEAF2A,Ethernet3,mlag_peer,DC1-LEAF2B,Ethernet3
l3leaf,DC1-LEAF2A,Ethernet4,mlag_peer,DC1-LEAF2B,Ethernet4
l3leaf,DC1-LEAF2A,Ethernet5,l2leaf,DC1-L2LEAF2A,Ethernet1
l3leaf,DC1-LEAF2A,Ethernet6,server,server02_MLAG,Eth0
l3leaf,DC1-LEAF2B,Ethernet1,spine,DC1-SPINE1,Ethernet4
l3leaf,DC1-LEAF2B,Ethernet2,spine,DC1-SPINE2,Ethernet4
l3leaf,DC1-LEAF2B,Ethernet3,mlag_peer,DC1-LEAF2A,Ethernet3
l3leaf,DC1-LEAF2B,Ethernet4,mlag_peer,DC1-LEAF2A,Ethernet4
l3leaf,DC1-LEAF2B,Ethernet5,l2leaf,DC1-L2LEAF2A,Ethernet2
l3leaf,DC1-LEAF2B,Ethernet6,server,server02_MLAG,Eth1
l3leaf,DC1-LEAF3A,Ethernet1,spine,DC1-SPINE1,Ethernet5
l3leaf,DC1-LEAF3A,Ethernet2,spine,DC1-SPINE2,Ethernet5
l3leaf,DC1-LEAF3A,Ethernet7,server,POD03-ESI,Eth0
l3leaf,DC1-LEAF4A,Ethernet1,spine,DC1-SPINE1,Ethernet8
l3leaf,DC1-LEAF4A,Ethernet2,spine,DC1-SPINE2,Ethernet8
l3leaf,DC1-LEAF4A,Ethernet7,server,POD03-ESI,Eth1
l2leaf,DC1-L2LEAF1A,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet5
l2leaf,DC1-L2LEAF1A,Ethernet2,l3leaf,DC1-LEAF1B,Ethernet5
l2leaf,DC1-L2LEAF1A,Ethernet5,server,POD01-SRV,Eth1
l2leaf,DC1-L2LEAF2A,Ethernet1,l3leaf,DC1-LEAF2A,Ethernet5
l2leaf,DC1-L2LEAF2A,Ethernet2,l3leaf,DC1-LEAF2B,Ethernet5
l2leaf,DC1-L2LEAF2A,Ethernet5,server,POD02-SRV,Eth1
