type, Leaf Node,Leaf Interface,Leaf IP Address,Port-Channel,Peer Node,Peer Interface,Peer IP Address,Port-Channel
L3 Leaf,DC1-POD2-LEAF1A,Ethernet2,172.32.255.1/31,N/A,DC1-POD2-SPINE1,Ethernet2,172.32.255.0/31,N/A
L3 Leaf,DC1-POD2-LEAF1A,Ethernet3,172.32.255.3/31,N/A,DC1-POD2-SPINE2,Ethernet2,172.32.255.2/31,N/A
L3 Leaf,DC1-POD2-LEAF1B,Ethernet2,172.32.255.5/31,N/A,DC1-POD2-SPINE1,Ethernet3,172.32.255.4/31,N/A
L3 Leaf,DC1-POD2-LEAF1B,Ethernet3,172.32.255.7/31,N/A,DC1-POD2-SPINE2,Ethernet3,172.32.255.6/31,N/A
L3 Leaf,DC1-POD2-LEAF2A,Ethernet2,172.32.255.9/31,N/A,DC1-POD2-SPINE1,Ethernet4,172.32.255.8/31,N/A
L3 Leaf,DC1-POD2-LEAF2A,Ethernet3,172.32.255.11/31,N/A,DC1-POD2-SPINE2,Ethernet4,172.32.255.10/31,N/A
L3 Leaf,DC1-POD2-LEAF2B,Ethernet2,172.32.255.13/31,N/A,DC1-POD2-SPINE1,Ethernet5,172.32.255.12/31,N/A
L3 Leaf,DC1-POD2-LEAF2B,Ethernet3,172.32.255.15/31,N/A,DC1-POD2-SPINE2,Ethernet5,172.32.255.14/31,N/A
L2 Leaf,DC1-POD2-L2LEAF1A,Ethernet1,N/A,Po1,DC1-POD2-LEAF1A,Ethernet7,N/A,Po7
L2 Leaf,DC1-POD2-L2LEAF1A,Ethernet2,N/A,Po1,DC1-POD2-LEAF1B,Ethernet7,N/A,Po7
L2 Leaf,DC1-L2LEAF2A,Ethernet1,N/A,Po1,DC1-POD2-LEAF2A,Ethernet8,N/A,Po8
L2 Leaf,DC1-L2LEAF2A,Ethernet2,N/A,Po1,DC1-POD2-LEAF2B,Ethernet8,N/A,Po8
