Vxlan Mac Address Table
----------------------------------------------------------------------

VLAN  Mac Address     Type      Prt  VTEP             Moves   Last Move
----  -----------     ----      ---  ----             -----   ---------
1198  0c1d.c0d2.9e98  EVPN      Vx1  192.168.254.8    1       0:12:01 ago
1198  0c1d.c0e4.777b  EVPN      Vx1  192.168.254.7    1       0:12:01 ago
1198  0e1d.c025.6541  EVPN      Vx1  192.168.254.9    1       0:12:01 ago
1198  0e1d.c0a3.43e0  EVPN      Vx1  192.168.254.5    1       0:12:01 ago
1198  0e1d.c0f0.bdd1  EVPN      Vx1  192.168.254.3    1       0:12:01 ago
1198  5201.0068.b446  EVPN      Vx1  192.168.254.11   1       0:07:35 ago
1199  0e1d.c0a3.43e0  EVPN      Vx1  192.168.254.5    1       0:12:01 ago
1199  0e1d.c0f0.bdd1  EVPN      Vx1  192.168.254.3    1       0:12:01 ago
1199  5201.0068.b446  EVPN      Vx1  192.168.254.11   1       0:07:35 ago
Total Remote Mac Addresses for this criterion: 9
