Vxlan Mac Address Table
----------------------------------------------------------------------

VLAN  Mac Address     Type      Prt  VTEP             Moves   Last Move
----  -----------     ----      ---  ----             -----   ---------
1198  0e1d.c0a3.43e0  EVPN      Vx1  192.168.254.5    1       0:13:58 ago
1198  0e1d.c0f0.bdd1  EVPN      Vx1  192.168.254.3    1       0:13:56 ago
1198  5201.0068.b446  EVPN      Vx1  192.168.254.11   1       0:07:05 ago
1199  0c1d.c0d2.9e98  EVPN      Vx1  192.168.254.8    1       0:17:08 ago
1199  0e1d.c025.6541  EVPN      Vx1  192.168.254.9    1       0:14:18 ago
1199  0e1d.c0a3.43e0  EVPN      Vx1  192.168.254.5    1       0:13:59 ago
1199  0e1d.c0f0.bdd1  EVPN      Vx1  192.168.254.3    1       0:13:56 ago
1199  5201.0068.b446  EVPN      Vx1  192.168.254.11   1       0:07:05 ago
Total Remote Mac Addresses for this criterion: 8
