Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
l2leaf,DC1-LEAF1A,Ethernet1,spine,DC1-SPINE1,Ethernet1
l2leaf,DC1-LEAF1A,Ethernet2,spine,DC1-SPINE2,Ethernet1
l2leaf,DC1-LEAF1A,Ethernet7,mlag_peer,DC1-LEAF1B,Ethernet7
l2leaf,DC1-LEAF1A,Ethernet8,mlag_peer,DC1-LEAF1B,Ethernet8
l2leaf,DC1-LEAF1B,Ethernet1,spine,DC1-SPINE1,Ethernet2
l2leaf,DC1-LEAF1B,Ethernet2,spine,DC1-SPINE2,Ethernet2
l2leaf,DC1-LEAF1B,Ethernet7,mlag_peer,DC1-LEAF1A,Ethernet7
l2leaf,DC1-LEAF1B,Ethernet8,mlag_peer,DC1-LEAF1A,Ethernet8
l2leaf,DC1-LEAF2A,Ethernet1,spine,DC1-SPINE1,Ethernet3
l2leaf,DC1-LEAF2A,Ethernet2,spine,DC1-SPINE2,Ethernet3
l2leaf,DC1-LEAF2A,Ethernet7,mlag_peer,DC1-LEAF2B,Ethernet7
l2leaf,DC1-LEAF2A,Ethernet8,mlag_peer,DC1-LEAF2B,Ethernet8
l2leaf,DC1-LEAF2B,Ethernet1,spine,DC1-SPINE1,Ethernet4
l2leaf,DC1-LEAF2B,Ethernet2,spine,DC1-SPINE2,Ethernet4
l2leaf,DC1-LEAF2B,Ethernet7,mlag_peer,DC1-LEAF2A,Ethernet7
l2leaf,DC1-LEAF2B,Ethernet8,mlag_peer,DC1-LEAF2A,Ethernet8
spine,DC1-SPINE1,Ethernet1,l2leaf,DC1-LEAF1A,Ethernet1
spine,DC1-SPINE1,Ethernet2,l2leaf,DC1-LEAF1B,Ethernet1
spine,DC1-SPINE1,Ethernet3,l2leaf,DC1-LEAF2A,Ethernet1
spine,DC1-SPINE1,Ethernet4,l2leaf,DC1-LEAF2B,Ethernet1
spine,DC1-SPINE2,Ethernet1,l2leaf,DC1-LEAF1A,Ethernet2
spine,DC1-SPINE2,Ethernet2,l2leaf,DC1-LEAF1B,Ethernet2
spine,DC1-SPINE2,Ethernet3,l2leaf,DC1-LEAF2A,Ethernet2
spine,DC1-SPINE2,Ethernet4,l2leaf,DC1-LEAF2B,Ethernet2
