Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,avd-bl01a,Ethernet1,172.31.255.65/31,spine,avd-spine1,Ethernet5,172.31.255.64/31
l3leaf,avd-bl01a,Ethernet2,172.31.255.67/31,spine,avd-spine2,Ethernet5,172.31.255.66/31
l3leaf,avd-bl01b,Ethernet1,172.31.255.69/31,spine,avd-spine1,Ethernet6,172.31.255.68/31
l3leaf,avd-bl01b,Ethernet2,172.31.255.71/31,spine,avd-spine2,Ethernet6,172.31.255.70/31
l3leaf,avd-cl01a,Ethernet1,172.31.255.73/31,spine,avd-spine1,Ethernet9,172.31.255.72/31
l3leaf,avd-cl01a,Ethernet2,172.31.255.75/31,spine,avd-spine2,Ethernet9,172.31.255.74/31
l3leaf,avd-cl01b,Ethernet1,172.31.255.77/31,spine,avd-spine1,Ethernet10,172.31.255.76/31
l3leaf,avd-cl01b,Ethernet2,172.31.255.79/31,spine,avd-spine2,Ethernet10,172.31.255.78/31
l2leaf,avd-l2leaf01,Ethernet1,172.31.251.81/31,spine,avd-spine1,Ethernet11,172.31.251.80/31
l2leaf,avd-l2leaf01,Ethernet2,172.31.251.83/31,spine,avd-spine2,Ethernet11,172.31.251.82/31
l2leaf,avd-l2leaf02,Ethernet1,172.31.251.85/31,spine,avd-spine1,Ethernet12,172.31.251.84/31
l2leaf,avd-l2leaf02,Ethernet2,172.31.251.87/31,spine,avd-spine2,Ethernet12,172.31.251.86/31
l3leaf,avd-leaf1a,Ethernet1,172.31.255.41/31,spine,avd-spine1,Ethernet1,172.31.255.40/31
l3leaf,avd-leaf1a,Ethernet2,172.31.255.43/31,spine,avd-spine2,Ethernet1,172.31.255.42/31
l3leaf,avd-leaf1b,Ethernet1,172.31.255.45/31,spine,avd-spine1,Ethernet2,172.31.255.44/31
l3leaf,avd-leaf1b,Ethernet2,172.31.255.47/31,spine,avd-spine2,Ethernet2,172.31.255.46/31
l3leaf,avd-leaf2a,Ethernet1,172.31.255.49/31,spine,avd-spine1,Ethernet3,172.31.255.48/31
l3leaf,avd-leaf2a,Ethernet2,172.31.255.51/31,spine,avd-spine2,Ethernet3,172.31.255.50/31
l3leaf,avd-leaf2b,Ethernet1,172.31.255.53/31,spine,avd-spine1,Ethernet4,172.31.255.52/31
l3leaf,avd-leaf2b,Ethernet2,172.31.255.55/31,spine,avd-spine2,Ethernet4,172.31.255.54/31
l3leaf,avd-leaf3a,Ethernet1,172.31.255.57/31,spine,avd-spine1,Ethernet7,172.31.255.56/31
l3leaf,avd-leaf3a,Ethernet2,172.31.255.59/31,spine,avd-spine2,Ethernet7,172.31.255.58/31
l3leaf,avd-leaf4a,Ethernet1,172.31.255.61/31,spine,avd-spine1,Ethernet8,172.31.255.60/31
l3leaf,avd-leaf4a,Ethernet2,172.31.255.63/31,spine,avd-spine2,Ethernet8,172.31.255.62/31
route_server,avd-rs01,Ethernet1,172.31.250.49/31,spine,avd-spine1,Ethernet13,172.31.250.48/31
route_server,avd-rs02,Ethernet1,172.31.250.51/31,spine,avd-spine2,Ethernet13,172.31.250.50/31
