BGP summary information for VRF default
Router identifier 192.168.0.2, local AS number 65000
Neighbor Status Codes: m - Under maintenance
  Description              Neighbor         V AS           MsgRcvd   MsgSent  InQ OutQ  Up/Down State   PfxRcd PfxAcc
  EAPI-L2LEAF01            192.168.253.2    4 65107             38        54    0    0 00:11:21 Estab   2      2
  EAPI-L2LEAF02            192.168.253.3    4 65108             20        54    0    0 00:11:29 Estab   1      1
  EAPI-LEAF1A              192.168.255.3    4 65101             43        64    0    0 00:13:43 Estab   10     10
  EAPI-LEAF1B              192.168.255.4    4 65101             41        63    0    0 00:13:45 Estab   10     10
  EAPI-LEAF2A              192.168.255.5    4 65102             39        66    0    0 00:13:48 Estab   10     10
  EAPI-LEAF2B              192.168.255.6    4 65102             47        61    0    0 00:13:39 Estab   10     10
  EAPI-LEAF3A              192.168.255.7    4 65103             42        72    0    0 00:16:57 Estab   5      5
  EAPI-LEAF4A              192.168.255.8    4 65104             44        71    0    0 00:17:24 Estab   5      5
  EAPI-BL01A               192.168.255.9    4 65105             42        72    0    0 00:13:56 Estab   4      4
  EAPI-BL01B               192.168.255.10   4 65105             42        70    0    0 00:14:06 Estab   4      4
  EAPI-CL01A               192.168.255.11   4 65106             41        44    0    0 00:06:54 Estab   9      9
  EAPI-CL01B               192.168.255.12   4 65106             43        45    0    0 00:06:54 Estab   9      9
