Vxlan Mac Address Table
----------------------------------------------------------------------

VLAN  Mac Address     Type      Prt  VTEP             Moves   Last Move
----  -----------     ----      ---  ----             -----   ---------
1198  021c.730e.779e  EVPN      Vx1  192.168.254.13   1       3:28:29 ago
1198  021c.736d.9c01  EVPN      Vx1  192.168.254.15   1       3:28:21 ago
1198  021c.7375.ed7d  EVPN      Vx1  192.168.254.21   1       3:28:40 ago
1199  001c.732a.2e9d  EVPN      Vx1  192.168.254.18   1       3:28:47 ago
1199  001c.7370.81be  EVPN      Vx1  192.168.254.17   1       3:28:34 ago
1199  021c.730e.779e  EVPN      Vx1  192.168.254.13   1       3:28:29 ago
1199  021c.7317.766b  EVPN      Vx1  192.168.254.19   1       3:28:22 ago
1199  021c.736d.9c01  EVPN      Vx1  192.168.254.15   1       3:28:21 ago
1199  021c.7375.ed7d  EVPN      Vx1  192.168.254.21   1       3:28:40 ago
Total Remote Mac Addresses for this criterion: 9
