Interface                      Status         Protocol           Description
Et1                            up             up                 P2P_LINK_TO_AVD-LEAF1A_Ethernet1
Et2                            up             up                 P2P_LINK_TO_AVD-LEAF1B_Ethernet1
Et3                            up             up                 P2P_LINK_TO_AVD-LEAF2A_Ethernet1
Et4                            up             up                 P2P_LINK_TO_AVD-LEAF2B_Ethernet1
Et5                            up             up                 P2P_LINK_TO_AVD-BL01A_Ethernet1
Et6                            up             up                 P2P_LINK_TO_AVD-BL01B_Ethernet1
Et7                            up             up                 P2P_LINK_TO_AVD-LEAF3A_Ethernet1
Et8                            up             up                 P2P_LINK_TO_AVD-LEAF4A_Ethernet1
Et9                            up             up                 P2P_LINK_TO_AVD-CL01A_Ethernet1
Et10                           up             up                 P2P_LINK_TO_AVD-CL01B_Ethernet1
Et11                           up             up                 P2P_LINK_TO_AVD-L2LEAF01_Ethernet1
Et12                           up             up                 P2P_LINK_TO_AVD-L2LEAF02_Ethernet1
Et13                           up             up                 P2P_LINK_TO_AVD-RS01_Ethernet1
Lo0                            up             up                 EVPN_Overlay_Peering
Ma0                            up             up                 oob_management
