BGP summary information for VRF default
Router identifier 192.168.1.2, local AS number 65001
Neighbor Status Codes: m - Under maintenance
  Description              Neighbor      V AS           MsgRcvd   MsgSent  InQ OutQ  Up/Down State   PfxRcd PfxAcc
  avd-rs02_Ethernet1       172.31.250.51 4 65000            246       264    0    0 03:28:02 Estab   1      1
  avd-l2leaf01_Ethernet2   172.31.251.83 4 65107            259       262    0    0 03:28:01 Estab   2      2
  avd-l2leaf02_Ethernet2   172.31.251.87 4 65108            261       261    0    0 03:28:01 Estab   2      2
  avd-leaf1a_Ethernet2     172.31.255.43 4 65101            260       265    0    0 03:27:41 Estab   3      3
  avd-leaf1b_Ethernet2     172.31.255.47 4 65101            260       260    0    0 03:27:41 Estab   3      3
  avd-leaf2a_Ethernet2     172.31.255.51 4 65102            249       258    0    0 03:27:33 Estab   3      3
  avd-leaf2b_Ethernet2     172.31.255.55 4 65102            259       263    0    0 03:27:31 Estab   3      3
  avd-leaf3a_Ethernet2     172.31.255.59 4 65103            260       262    0    0 03:27:46 Estab   2      2
  avd-leaf4a_Ethernet2     172.31.255.63 4 65104            263       262    0    0 03:28:02 Estab   2      2
  avd-bl01a_Ethernet2      172.31.255.67 4 65105            259       265    0    0 03:27:34 Estab   3      3
  avd-bl01b_Ethernet2      172.31.255.71 4 65105            264       263    0    0 03:27:34 Estab   3      3
  avd-cl01a_Ethernet2      172.31.255.75 4 65106            262       264    0    0 03:27:55 Estab   3      3
  avd-cl01b_Ethernet2      172.31.255.79 4 65106            265       263    0    0 03:27:47 Estab   3      3
