Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
spine,DC1-POD1-SPINE1,Ethernet1,super-spine,DC1-SUPER-SPINE1,Ethernet1
spine,DC1-POD1-SPINE1,Ethernet6,super-spine,DC1-SUPER-SPINE2,Ethernet1
spine,DC1-POD1-SPINE2,Ethernet1,super-spine,DC1-SUPER-SPINE1,Ethernet2
spine,DC1-POD1-SPINE2,Ethernet6,super-spine,DC1-SUPER-SPINE2,Ethernet2
spine,DC1-POD2-SPINE1,Ethernet1,super-spine,DC1-SUPER-SPINE1,Ethernet3
spine,DC1-POD2-SPINE1,Ethernet6,super-spine,DC1-SUPER-SPINE2,Ethernet3
spine,DC1-POD2-SPINE2,Ethernet1,super-spine,DC1-SUPER-SPINE1,Ethernet4
spine,DC1-POD2-SPINE2,Ethernet6,super-spine,DC1-SUPER-SPINE2,Ethernet4
super-spine,DC1-SUPER-SPINE1,Ethernet1,spine,DC1-POD1-SPINE1,Ethernet1
super-spine,DC1-SUPER-SPINE1,Ethernet2,spine,DC1-POD1-SPINE2,Ethernet1
super-spine,DC1-SUPER-SPINE1,Ethernet3,spine,DC1-POD2-SPINE1,Ethernet1
super-spine,DC1-SUPER-SPINE1,Ethernet4,spine,DC1-POD2-SPINE2,Ethernet1
super-spine,DC1-SUPER-SPINE2,Ethernet1,spine,DC1-POD1-SPINE1,Ethernet6
super-spine,DC1-SUPER-SPINE2,Ethernet2,spine,DC1-POD1-SPINE2,Ethernet6
super-spine,DC1-SUPER-SPINE2,Ethernet3,spine,DC1-POD2-SPINE1,Ethernet6
super-spine,DC1-SUPER-SPINE2,Ethernet4,spine,DC1-POD2-SPINE2,Ethernet6
